"ST","STATE","OCC_CODE","OCC_TITLE","GROUP","TOT_EMP","H_MEAN","A_MEAN"
"MI","Michigan","39-9011","Child care workers",NA,"18780","10.00","20800"
"FL","Florida","43-4199","All other information and record clerks",NA,"18780","14.61","30390"
"MS","Mississippi","17-0000","Architecture and engineering occupations","major","18790","26.72","55570"
"SD","South Dakota","51-2022","Electrical and electronic equipment assemblers",NA,"1880","10.66","22180"
"IA","Iowa","43-4121","Library assistants, clerical",NA,"1880","10.70","22250"
"FL","Florida","51-4033","Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",NA,"1880","12.33","25650"
"FL","Florida","47-4031","Fence erectors",NA,"1880","13.51","28100"
"CT","Connecticut","51-2099","Assemblers and fabricators, all other",NA,"1880","13.76","28610"
"NH","New Hampshire","47-4051","Highway maintenance workers",NA,"1880","14.19","29520"
"AZ","Arizona","41-3041","Travel agents",NA,"1880","14.46","30070"
"CT","Connecticut","51-2041","Structural metal fabricators and fitters",NA,"1880","15.33","31890"
"IL","Illinois","51-4023","Rolling machine setters, operators, and tenders, metal and plastic",NA,"1880","15.59","32430"
"PR","Puerto Rico","43-4181","Reservation and transportation ticket agents and travel clerks",NA,"1880","16.01","33290"
"IA","Iowa","49-3021","Automotive body and related repairers",NA,"1880","16.04","33360"
"MA","Massachusetts","43-9199","Office and administrative support workers, all other",NA,"1880","17.21","35800"
"KY","Kentucky","13-1071","Employment, recruitment, and placement specialists",NA,"1880","17.65","36720"
"OH","Ohio","27-3022","Reporters and correspondents",NA,"1880","19.90","41400"
"DC","District of Columbia","41-1011","First-line supervisors/managers of retail sales workers",NA,"1880","20.56","42760"
"KS","Kansas","29-2034","Radiologic technologists and technicians",NA,"1880","20.71","43070"
"MD","Maryland","41-9099","Sales and related workers, all other",NA,"1880","20.88","43430"
"LA","Louisiana","29-1126","Respiratory therapists",NA,"1880","21.76","45260"
"HI","Hawaii","33-2011","Fire fighters",NA,"1880","22.10","45960"
"NV","Nevada","49-3031","Bus and truck mechanics and diesel engine specialists",NA,"1880","22.31","46410"
"WI","Wisconsin","29-1126","Respiratory therapists",NA,"1880","24.49","50950"
"RI","Rhode Island","47-2111","Electricians",NA,"1880","24.68","51330"
"FL","Florida","29-1129","Therapists, all other",NA,"1880","28.70","59700"
"FL","Florida","29-2033","Nuclear medicine technologists",NA,"1880","30.51","63460"
"CA","California","53-6051","Transportation inspectors",NA,"1880","30.67","63800"
"NE","Nebraska","41-4011","Sales representatives, wholesale and manufacturing, technical and scientific products",NA,"1880","32.36","67300"
"ID","Idaho","11-9199","Managers, all other",NA,"1880","32.83","68290"
"CA","California","47-4021","Elevator installers and repairers",NA,"1880","40.14","83500"
"MA","Massachusetts","29-1021","Dentists, general",NA,"1880","71.26","148220"
"OK","Oklahoma","39-3091","Amusement and recreation attendants",NA,"1880","8.02","16690"
"MT","Montana","41-2021","Counter and rental clerks",NA,"1880","9.95","20690"
"NJ","New Jersey","15-1051","Computer systems analysts",NA,"18810","41.06","85400"
"CT","Connecticut","35-3021","Combined food preparation and serving workers, including fast food",NA,"18820","9.41","19570"
"TX","Texas","43-9061","Office clerks, general",NA,"188320","10.75","22370"
"FL","Florida","43-9061","Office clerks, general",NA,"188320","11.58","24080"
"NY","New York","15-1071","Network and computer systems administrators",NA,"18840","37.26","77500"
